hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y_Mcr_u_eq
175,700,3.41,700,35.37,175,12.07,0.5,15400,5129.675897
250,500,3.23,250,10.79,500,6.84,1,14000,108.2629043
666.67,1000,6.06,1000,35.79,500,6.06,0.5,18000,18677.87466
175,700,5.19,175,5.19,175,5.62,1,19600,11.13464992
800,400,3.14,400,32,200,8.63,-0.5,27200,1559.648343
300,300,1.13,300,12.95,75,1.58,-0.5,7800,280.9061612
160,400,2.58,100,5.79,100,5.05,-0.25,10400,10.19459024
1000,1000,4.88,250,6.18,1000,17.37,0.5,36000,253.3386792
700,175,3.59,525,36.2,175,12.71,0.5,23800,1913.092665
200,500,2.22,375,23.09,250,16.32,0,8000,2382.608583
360,900,36,450,36,450,36,0.5,36000,1750.623002
233.33,700,10.77,700,35.37,700,14.74,0.25,16800,7234.285044
100,400,4.21,300,18.47,400,24.63,1,8000,1091.062492
85.71,300,1.4,225,9.71,225,9.71,-0.5,4200,564.2039666
166.67,500,20,375,23.09,250,20,-1,15000,1377.653948
500,500,4.35,500,40,375,28.62,-0.25,9000,15404.53371
1000,666.67,4.26,1000,50.53,500,28.95,-1,20000,17755.33007
600,400,17.14,150,17.14,300,17.14,0.5,22800,166.4090929
800,228.57,2.81,200,5.68,400,30.53,0,9600,837.2465936
900,450,4.62,900,9,225,9.71,0,34200,1198.600647
320,800,14.55,600,14.55,600,14.55,1,14400,1723.318376
600,600,3.24,600,48,600,45.79,0.25,6000,56386.15527
700,350,15.56,700,48.26,175,15.56,0.5,16800,9901.420698
200,700,2.64,175,8.2,350,4.79,0.25,21000,27.29166318
533.33,800,2.81,600,43.58,800,13.89,-0.75,9600,36137.6281
466.67,700,2.55,350,7.37,175,12.07,0,21000,158.2525448
266.67,800,5.93,200,5.93,400,30.53,-1,20800,1063.805974
600,200,5.22,150,5.22,150,10.34,-0.25,10800,56.6809957
900,360,25.71,225,25.71,900,45.47,0,16200,5960.078472
700,466.67,2.86,525,34.26,175,14,0.75,12600,4352.525509
1000,500,8,500,27.11,250,8,1,38000,513.7911431
900,900,36,900,36,225,36,0.5,25200,10613.52787
142.86,500,2.86,375,17.57,125,4.47,-0.5,14000,520.828101
120,300,1.05,150,12,75,6,-0.25,10800,55.23276489
400,400,2.58,400,24.63,400,6.95,0.5,14400,1083.598749
500,125,3.45,500,40,125,9.08,0.5,6000,11196.85583
133.33,400,2.76,300,19.58,300,11.84,-0.25,12800,630.7913298
300,200,2.4,150,5.37,300,3,1,6600,24.11831442
400,600,5.22,600,28.11,300,19.58,-0.75,3600,28382.162
800,400,3.27,200,7.16,200,4.95,-0.25,9600,169.3784827
700,350,2.64,175,3.04,175,13.36,-0.5,16800,50.18866442
450,900,16.36,900,72,450,16.36,0.25,16200,43591.73583
300,300,1.09,300,3,150,8.13,-0.25,7800,161.7403412
700,233.33,12.73,700,27.63,175,12.73,1,22400,1821.365441
466.67,700,28,700,43.11,700,53.42,-0.75,7000,105895.1794
142.86,500,1.82,125,9.54,375,5.13,-0.75,3000,505.553957
100,400,2.96,200,12.32,100,2.96,-0.5,15200,75.12617378
200,400,3.48,300,14.05,400,26.11,0.25,9600,1189.368583
333.33,500,4,500,38.16,500,8.68,1,5000,15284.58585
300,120,5.45,225,6.39,75,5.45,-0.75,9600,59.82679164
700,700,2.3,525,12.99,350,17.68,-0.75,21000,1462.387781
333.33,1000,4.08,750,54.47,750,57.24,-0.25,22000,24917.06901
666.67,1000,3.77,1000,28.42,1000,61.58,1,14000,29632.13622
240,600,6.32,600,23.68,600,41.37,1,22800,2539.547771
300,600,6.32,150,8.68,600,41.37,-0.75,12000,5522.524664
700,466.67,8.24,525,11.05,525,22.66,0.75,23800,652.1323458
800,533.33,2.81,400,24.63,600,10.42,-0.25,3200,41167.65837
400,114.29,7.27,300,14.05,200,7.27,-1,5600,703.1348471
400,1000,3.64,750,60,500,40,0.5,38000,6940.288082
400,1000,3.64,750,43.42,750,18.55,0.25,34000,5281.140422
400,200,2.58,400,29.05,400,5.47,0.75,14400,1095.204153
400,600,24,300,24,150,24,0.75,13200,766.5894616
700,200,7.37,525,22.66,175,7.37,-0.5,16800,3238.040549
500,125,11.11,125,11.11,500,21.58,0,20000,443.6291972
600,400,17.14,300,17.14,150,17.14,-0.25,22800,429.0811835
240,600,5.22,300,17.37,450,5.22,-1,20400,450.2456002
350,700,3.78,350,13.82,350,26.71,-0.25,28000,555.3029189
171.43,600,4.14,300,19.58,450,9.47,0.75,24000,213.8759498
500,500,1.96,250,11.71,250,6.18,0.25,12000,204.1764677
700,200,3.11,525,34.26,350,13.82,-0.25,22400,3720.419167
1000,666.67,3.39,1000,28.42,250,6.18,-0.25,12000,22631.2386
800,800,2.71,600,36.95,400,32,-0.25,9600,28036.37826
900,225,9.47,450,24.39,900,48.79,-0.25,21600,8001.33893
300,85.71,2.4,300,10.74,300,18.47,-0.25,12000,529.9609741
466.67,700,12.73,525,42,700,22.47,1,2800,80510.57252
166.67,500,3.23,375,7.89,375,3.75,-0.75,18000,189.3765865
600,600,2.55,300,5.21,450,6.16,0,12000,219.6886083
900,900,5.81,900,72,450,17.76,0.75,18000,36462.88455
300,75,1.28,75,4.89,150,9.24,-0.25,4800,33.72739536
700,175,4.83,175,5.62,175,4.97,0.5,1400,1374.691713
900,900,4.39,225,4.39,675,51.51,-1,34200,3587.39142
800,800,3.02,400,17.26,600,48,0,24000,3090.045663
300,300,1.09,225,2.25,300,6.32,0.25,6000,75.45491308
900,900,3.16,450,11.13,900,18.95,0.5,32400,528.7600114
400,200,5.33,300,21.79,100,5.79,-0.75,14400,631.5184543
500,142.86,2.86,125,4.93,250,7.11,1,6000,33.4574716
175,700,4.83,350,6.08,350,22.84,-0.75,16800,698.3481132
500,142.86,5.26,375,27.24,125,10,0.5,12000,1212.979211
900,225,4.39,900,65.37,450,29.37,0.75,19800,21245.61772
1000,400,3.64,250,16.32,250,3.64,0.75,22000,108.4005063
266.67,400,1.7,200,3.47,400,9.89,0,10400,100.1840679
300,75,3.16,75,3.16,300,11.84,0.5,3000,124.0470546
800,533.33,3.56,400,21.68,800,46.32,0.25,32000,3235.30053
450,900,16.36,450,27.71,225,17.17,0,19800,1831.626396
142.86,500,5.88,125,5.88,125,8.62,0,19000,13.69910367
200,600,2.11,450,24.39,450,4.5,-0.25,15600,1729.448902
500,250,5.88,375,30,375,10.66,0.75,4000,8102.989865
